%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2254.0450	3.3000	1.3750	2.1360	63.6630	0.3160	7.0488	2.9370	2.4000	0.1759	0.2000	1.0000
2254.1970	3.4080	1.3790	2.1310	63.8710	0.3190	7.2624	2.9386	2.4714	0.1818	0.2000	1.0000
2254.3500	3.4830	1.3740	2.1340	64.3940	0.3150	7.4327	2.9321	2.5349	0.1714	0.2000	1.0000
2254.5020	3.4950	1.4710	2.1440	63.4770	0.3080	7.4933	3.1538	2.3759	0.2042	0.2000	1.0000
2254.6540	3.5020	1.4880	2.1550	66.3720	0.3220	7.5468	3.2066	2.3535	0.2520	0.2000	1.0000
2254.8070	3.3380	1.4880	2.1570	70.5790	0.3460	7.2001	3.2096	2.2433	0.2837	0.2000	1.0000
2254.9590	3.3020	1.5790	2.1530	73.3780	0.3460	7.1092	3.3996	2.0912	0.2624	0.2000	1.0000
2255.1120	3.2320	1.5930	2.1390	71.4930	0.3460	6.9132	3.4074	2.0289	0.2120	0.2000	1.0000
2255.2640	3.2090	1.5330	2.1410	67.0580	0.3240	6.8705	3.2822	2.0933	0.1804	0.2000	1.0000
2255.4160	3.1780	1.5940	2.1500	64.2710	0.3130	6.8327	3.4271	1.9937	0.1675	0.2000	1.0000
2255.5690	3.1870	1.5990	2.1600	63.1350	0.2930	6.8839	3.4538	1.9931	0.1616	0.2000	1.0000
2255.7210	3.1820	1.5990	2.1580	62.6120	0.3030	6.8668	3.4506	1.9900	0.1474	0.2000	1.0000
2255.8740	3.1510	1.5910	2.1580	61.3620	0.3060	6.7999	3.4334	1.9805	0.1411	0.2000	1.0000
2256.0260	3.1850	1.5180	2.1590	60.8070	0.3210	6.8764	3.2774	2.0982	0.1574	0.2000	1.0000
2256.1780	3.1690	1.4690	2.1580	62.2440	0.3100	6.8387	3.1701	2.1572	0.1618	0.2000	1.0000
2256.3310	3.1510	1.5150	2.1620	62.6310	0.3130	6.8125	3.2754	2.0799	0.1681	0.2000	1.0000
2256.4830	3.1520	1.5590	2.1530	63.1840	0.3040	6.7863	3.3565	2.0218	0.1457	0.2000	1.0000
2256.6350	3.1940	1.5590	2.1570	61.2110	0.2990	6.8895	3.3628	2.0487	0.1385	0.2000	1.0000
2256.7880	3.2110	1.7120	2.1490	60.5730	0.2930	6.9004	3.6791	1.8756	0.1413	0.2000	1.0000
2256.9400	3.2010	1.6680	2.1430	60.8260	0.2870	6.8597	3.5745	1.9191	0.1512	0.2000	1.0000
2257.0930	3.2010	1.5970	2.1420	61.6960	0.3050	6.8565	3.4208	2.0044	0.1532	0.2000	1.0000
2257.2450	3.2380	1.4650	2.1410	61.8690	0.3170	6.9326	3.1366	2.2102	0.1587	0.2000	1.0000
2257.3980	3.2820	1.3110	2.1460	62.3610	0.3310	7.0432	2.8134	2.5034	0.1640	0.2000	1.0000
2257.5500	3.1600	1.3110	2.1450	62.8280	0.3100	6.7782	2.8121	2.4104	0.1632	0.2000	1.0000
