%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2254.0450	3.1421	1.4066	2.0410	63.6630	0.3160	6.4131	2.8710	2.2338	0.1759	0.2000	1.0000
2254.1970	3.2701	1.4112	2.0349	63.8710	0.3190	6.6543	2.8716	2.3173	0.1818	0.2000	1.0000
2254.3500	3.3477	1.4042	2.0433	64.3940	0.3150	6.8406	2.8692	2.3842	0.1714	0.2000	1.0000
2254.5020	3.3633	1.5033	2.0528	63.4770	0.3080	6.9043	3.0860	2.2373	0.2042	0.2000	1.0000
2254.6540	3.4133	1.5361	2.0222	66.3720	0.3220	6.9025	3.1063	2.2221	0.2520	0.2000	1.0000
2254.8070	3.2801	1.5550	1.9751	70.5790	0.3460	6.4786	3.0713	2.1094	0.2837	0.2000	1.0000
2254.9590	3.2220	1.6477	1.9772	73.3780	0.3460	6.3706	3.2579	1.9554	0.2624	0.2000	1.0000
2255.1120	3.1028	1.6548	1.9822	71.4930	0.3460	6.1503	3.2801	1.8750	0.2120	0.2000	1.0000
2255.2640	3.0324	1.5760	2.0258	67.0580	0.3240	6.1430	3.1927	1.9241	0.1804	0.2000	1.0000
2255.4160	2.9654	1.6334	2.0474	64.2710	0.3130	6.0715	3.3443	1.8155	0.1675	0.2000	1.0000
2255.5690	2.9471	1.6275	2.0850	63.1350	0.2930	6.1446	3.3933	1.8108	0.1616	0.2000	1.0000
2255.7210	2.9487	1.6334	2.0680	62.6120	0.3030	6.0978	3.3779	1.8052	0.1474	0.2000	1.0000
2255.8740	2.9107	1.6272	2.0631	61.3620	0.3060	6.0051	3.3570	1.7888	0.1411	0.2000	1.0000
2256.0260	3.0037	1.5641	2.0337	60.8070	0.3210	6.1086	3.1808	1.9204	0.1574	0.2000	1.0000
2256.1780	2.9728	1.5059	2.0536	62.2440	0.3100	6.1048	3.0924	1.9741	0.1618	0.2000	1.0000
2256.3310	2.9544	1.5568	2.0474	62.6310	0.3130	6.0487	3.1874	1.8977	0.1681	0.2000	1.0000
2256.4830	2.9124	1.5914	2.0663	63.1840	0.3040	6.0179	3.2883	1.8301	0.1457	0.2000	1.0000
2256.6350	2.9586	1.5890	2.0763	61.2110	0.2990	6.1429	3.2993	1.8619	0.1385	0.2000	1.0000
2256.7880	2.9351	1.7372	2.0871	60.5730	0.2930	6.1258	3.6257	1.6895	0.1413	0.2000	1.0000
2256.9400	2.9199	1.6861	2.0971	60.8260	0.2870	6.1234	3.5361	1.7317	0.1512	0.2000	1.0000
2257.0930	2.9662	1.6270	2.0637	61.6960	0.3050	6.1213	3.3577	1.8231	0.1532	0.2000	1.0000
2257.2450	3.0557	1.5005	2.0409	61.8690	0.3170	6.2365	3.0624	2.0365	0.1587	0.2000	1.0000
2257.3980	3.1545	1.3531	2.0146	62.3610	0.3310	6.3550	2.7259	2.3313	0.1640	0.2000	1.0000
2257.5500	2.9708	1.3399	2.0534	62.8280	0.3100	6.1002	2.7514	2.2171	0.1632	0.2000	1.0000
2257.7020	2.8427	1.2109	2.0510	62.7570	0.3110	5.8302	2.4836	2.3475	0.1690	0.2000	1.0000
2257.8550	2.7831	1.2039	2.0523	63.2680	0.3090	5.7119	2.4709	2.3117	0.1913	0.2000	1.0000
2258.0070	2.5312	1.2421	2.0322	65.2310	0.3180	5.1439	2.5242	2.0379	0.2261	0.2000	1.0000
2258.1600	2.5920	1.2076	2.0461	68.2960	0.3080	5.3035	2.4709	2.1464	0.2690	0.2000	1.0000
2258.3120	2.7011	1.2198	2.0273	72.0810	0.3150	5.4760	2.4730	2.2144	0.3274	0.2000	1.0000
2258.4640	2.8293	1.2625	1.9981	77.2280	0.3280	5.6532	2.5226	2.2410	0.3827	0.2000	1.0000
2258.6170	2.9473	1.3428	1.9649	82.1040	0.3460	5.7911	2.6385	2.1948	0.3884	0.2000	1.0000
2258.7690	3.1498	1.3536	1.9591	82.6000	0.3500	6.1707	2.6517	2.3271	0.3737	0.2000	1.0000
2258.9220	3.2781	1.4595	1.9410	81.3120	0.3620	6.3627	2.8329	2.2460	0.3352	0.2000	1.0000
2259.0740	3.3254	1.4364	1.9728	77.9130	0.3460	6.5604	2.8338	2.3151	0.3076	0.2000	1.0000
2259.2260	3.3554	1.5754	1.9971	75.4810	0.3360	6.7013	3.1463	2.1299	0.2464	0.2000	1.0000
