%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2154.0700	2.6690	1.1370	1.8850	84.7240	0.4810	5.0311	2.1432	2.3474	0.4124	0.8850	1.0000
2154.2230	2.7730	1.1270	1.9380	79.0360	0.4400	5.3741	2.1841	2.4605	0.3479	0.8830	1.0000
2154.3750	2.7550	1.2100	2.0820	76.6550	0.3920	5.7359	2.5192	2.2769	0.3209	0.8410	1.0000
2154.5280	2.6730	1.2380	2.1950	73.7790	0.3330	5.8672	2.7174	2.1591	0.2883	0.8650	1.0000
2154.6800	2.7100	1.1980	2.2190	79.3870	0.3240	6.0135	2.6584	2.2621	0.3519	0.7740	1.0000
2154.8320	2.7390	1.1980	2.1970	79.9980	0.3360	6.0176	2.6320	2.2863	0.3588	0.7310	1.0000
2154.9850	2.7790	1.1740	2.1640	78.2590	0.3370	6.0138	2.5405	2.3671	0.3391	0.6840	1.0000
2155.1370	2.8010	1.1770	2.1570	72.5220	0.3260	6.0418	2.5388	2.3798	0.2740	0.6740	1.0000
2155.2900	2.7220	1.1720	2.1610	67.9960	0.3100	5.8822	2.5327	2.3225	0.2227	0.6800	1.0000
2155.4420	2.7500	1.0600	2.1620	67.3190	0.2830	5.9455	2.2917	2.5943	0.2150	0.6650	1.0000
2155.5950	2.7610	1.0600	2.1830	70.8470	0.2920	6.0273	2.3140	2.6047	0.2550	0.7050	1.0000
2155.7470	2.7620	1.2330	2.2020	71.2220	0.3090	6.0819	2.7151	2.2401	0.2593	0.7400	1.0000
2155.8990	2.6930	1.3550	2.2080	70.6890	0.3200	5.9461	2.9918	1.9875	0.2532	0.7550	1.0000
2156.0520	2.7330	1.3630	2.1990	64.7840	0.3250	6.0099	2.9972	2.0051	0.1862	0.7450	1.0000
2156.2040	2.7360	1.3630	2.1760	61.6900	0.3160	5.9535	2.9659	2.0073	0.1511	0.7170	1.0000
2156.3560	2.7070	1.2570	2.1610	58.8950	0.3200	5.8498	2.7164	2.1535	0.1194	0.7000	1.0000
2156.5090	2.6950	1.2570	2.1610	56.6080	0.3100	5.8239	2.7164	2.1440	0.0935	0.6990	1.0000
2156.6610	2.6610	1.3270	2.1580	56.1560	0.3100	5.7424	2.8637	2.0053	0.0884	0.6910	1.0000
2156.8140	2.6810	1.3090	2.1550	54.4990	0.3130	5.7776	2.8209	2.0481	0.0696	0.6800	1.0000
2156.9660	2.6280	1.4010	2.1480	55.0430	0.3190	5.6449	3.0093	1.8758	0.0757	0.6680	1.0000
2157.1180	2.6300	1.4000	2.1420	55.7590	0.3170	5.6335	2.9988	1.8786	0.0838	0.6620	1.0000
2157.2710	2.6090	1.4000	2.1340	57.6880	0.3250	5.5676	2.9876	1.8636	0.1057	0.6570	1.0000
2157.4230	2.6230	1.2710	2.1260	56.7730	0.3230	5.5765	2.7021	2.0637	0.0953	0.6470	1.0000
2157.5760	2.5910	1.1970	2.1230	55.7860	0.3210	5.5007	2.5412	2.1646	0.0842	0.6430	1.0000
2157.7280	2.5550	1.2000	2.1130	57.4720	0.3200	5.3987	2.5356	2.1292	0.1033	0.6230	1.0000
2157.8800	2.5320	1.2290	2.1070	59.1030	0.3220	5.3349	2.5895	2.0602	0.1218	0.6120	0.9690
