%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2154.0700	2.7716	1.1908	1.7184	84.7240	0.4810	4.7628	2.0464	2.3274	0.4124	0.8850	1.0000
2154.2230	2.8580	1.1701	1.7980	79.0360	0.4400	5.1387	2.1037	2.4426	0.3479	0.8830	1.0000
2154.3750	2.8622	1.2707	1.8877	76.6550	0.3920	5.4029	2.3988	2.2524	0.3209	0.8410	1.0000
2154.5280	2.7606	1.2975	1.9984	73.7790	0.3330	5.5169	2.5929	2.1277	0.2883	0.8650	1.0000
2154.6800	2.8110	1.2592	2.0084	79.3870	0.3240	5.6457	2.5291	2.2323	0.3519	0.7740	1.0000
2154.8320	2.8444	1.2601	1.9859	79.9980	0.3360	5.6489	2.5024	2.2574	0.3588	0.7310	1.0000
2154.9850	2.8624	1.2255	1.9861	78.2590	0.3370	5.6850	2.4339	2.3358	0.3391	0.6840	1.0000
2155.1370	2.8466	1.2185	2.0127	72.5220	0.3260	5.7294	2.4524	2.3362	0.2740	0.6740	1.0000
2155.2900	2.7113	1.2041	2.0473	67.9960	0.3100	5.5508	2.4651	2.2517	0.2227	0.6800	1.0000
2155.4420	2.7137	1.0761	2.0977	67.3190	0.2830	5.6924	2.2574	2.5217	0.2150	0.6650	1.0000
2155.5950	2.7764	1.0867	2.0769	70.8470	0.2920	5.7662	2.2570	2.5548	0.2550	0.7050	1.0000
2155.7470	2.8063	1.2794	2.0453	71.2220	0.3090	5.7397	2.6167	2.1935	0.2593	0.7400	1.0000
2155.8990	2.7279	1.4146	2.0258	70.6890	0.3200	5.5261	2.8657	1.9283	0.2532	0.7550	1.0000
2156.0520	2.7563	1.4209	2.0234	64.7840	0.3250	5.5770	2.8751	1.9398	0.1862	0.7450	1.0000
2156.2040	2.7096	1.4065	2.0436	61.6900	0.3160	5.5372	2.8742	1.9265	0.1511	0.7170	1.0000
2156.3560	2.6653	1.2939	2.0394	58.8950	0.3200	5.4356	2.6389	2.0598	0.1194	0.7000	1.0000
2156.5090	2.6234	1.2873	2.0606	56.6080	0.3100	5.4059	2.6525	2.0380	0.0935	0.6990	1.0000
2156.6610	2.5635	1.3578	2.0612	56.1560	0.3100	5.2838	2.7987	1.8880	0.0884	0.6910	1.0000
2156.8140	2.5836	1.3396	2.0575	54.4990	0.3130	5.3157	2.7564	1.9285	0.0696	0.6800	1.0000
2156.9660	2.5039	1.4356	2.0457	55.0430	0.3190	5.1223	2.9368	1.7442	0.0757	0.6680	1.0000
2157.1180	2.4992	1.4316	2.0486	55.7590	0.3170	5.1199	2.9327	1.7458	0.0838	0.6620	1.0000
2157.2710	2.4853	1.4349	2.0315	57.6880	0.3250	5.0490	2.9150	1.7321	0.1057	0.6570	1.0000
2157.4230	2.5077	1.2987	2.0363	56.7730	0.3230	5.1064	2.6445	1.9309	0.0953	0.6470	1.0000
2157.5760	2.4644	1.2208	2.0412	55.7860	0.3210	5.0302	2.4918	2.0187	0.0842	0.6430	1.0000
2157.7280	2.4077	1.2210	2.0411	57.4720	0.3200	4.9142	2.4921	1.9719	0.1033	0.6230	1.0000
2157.8800	2.3742	1.2504	2.0355	59.1030	0.3220	4.8326	2.5452	1.8987	0.1218	0.6120	0.9690
2158.0330	2.2832	1.2567	2.0238	59.5580	0.3280	4.6208	2.5433	1.8169	0.1269	0.6170	0.9770
2158.1850	1.9676	1.0676	2.0236	58.1800	0.3290	3.9815	2.1603	1.8430	0.1113	0.6170	1.0000
2158.3380	1.9787	1.0466	2.0079	57.2460	0.3380	3.9731	2.1015	1.8906	0.1007	0.6340	0.9400
2158.4900	2.0352	0.9945	2.0014	56.4340	0.3420	4.0733	1.9905	2.0463	0.0915	0.6270	0.8850
2158.6420	2.1739	0.9565	1.9804	56.9920	0.3530	4.3053	1.8943	2.2728	0.0978	0.6030	1.0000
2158.7950	2.3413	1.1227	1.9307	61.9040	0.3770	4.5202	2.1676	2.0854	0.1536	0.5900	0.9790
2158.9470	2.4868	1.1274	1.8940	65.2480	0.3950	4.7098	2.1352	2.2058	0.1915	0.5490	0.9840
2159.1000	2.5789	1.1567	1.8791	65.3480	0.4030	4.8461	2.1736	2.2296	0.1926	0.5370	0.9500
2159.2520	2.4873	1.1813	1.9422	61.5060	0.3710	4.8308	2.2943	2.1055	0.1490	0.5430	0.9750
2159.4040	2.4335	1.2153	2.0005	58.8780	0.3410	4.8683	2.4312	2.0024	0.1192	0.5520	0.9640
2159.5570	2.4641	1.2253	1.9978	58.0440	0.3430	4.9228	2.4479	2.0110	0.1098	0.5740	0.9710
2159.7090	2.5197	1.2572	1.9890	57.6340	0.3480	5.0117	2.5005	2.0043	0.1051	0.6120	0.9840
2159.8620	2.5854	1.2745	1.9772	58.1710	0.3540	5.1120	2.5201	2.0285	0.1112	0.6290	1.0000
2160.0140	2.5836	1.2616	2.0310	59.8110	0.3240	5.2471	2.5622	2.0479	0.1298	0.6280	1.0000
2160.1660	2.5513	1.3679	2.0191	60.4710	0.3300	5.1513	2.7620	1.8651	0.1373	0.6000	0.9350
2160.3190	2.5020	1.4207	2.0123	59.9200	0.3340	5.0348	2.8589	1.7611	0.1311	0.5040	0.8740
2160.4710	2.4269	1.3863	2.0023	53.9580	0.3430	4.8596	2.7758	1.7507	0.0634	0.4050	0.8360
2160.6240	2.3625	1.3340	2.0430	52.5950	0.3220	4.8265	2.7254	1.7710	0.0479	0.3820	0.7890
2160.7760	2.3358	1.3436	2.0572	53.1720	0.3140	4.8052	2.7640	1.7385	0.0545	0.4000	0.8260
2160.9280	2.3221	1.2220	2.0565	55.3620	0.3130	4.7754	2.5130	1.9002	0.0793	0.3710	0.8300
2161.0810	2.3353	1.2126	2.0400	56.8220	0.3210	4.7639	2.4737	1.9258	0.0959	0.3200	0.8430
2161.2330	2.3548	1.2209	2.0214	55.2260	0.3320	4.7599	2.4679	1.9287	0.0778	0.3030	0.8030
2161.3850	2.3615	1.2172	1.9977	56.4080	0.3440	4.7177	2.4316	1.9402	0.0912	0.2950	0.7850
2161.5380	2.2847	1.2480	1.9902	54.8630	0.3490	4.5469	2.4837	1.8307	0.0737	0.2880	0.7710
2161.6900	2.2679	1.2481	1.9879	56.9500	0.3490	4.5083	2.4811	1.8171	0.0974	0.2870	0.7590
2161.8430	2.2669	1.3258	2.0045	55.3730	0.3410	4.5440	2.6575	1.7099	0.0795	0.2830	0.7610
2161.9950	2.2287	1.3532	2.0424	53.1180	0.3220	4.5519	2.7637	1.6470	0.0539	0.2890	0.7640
2162.1480	2.2345	1.3238	2.0679	55.1710	0.3070	4.6208	2.7376	1.6879	0.0772	0.2930	0.7810
2162.3000	2.1989	1.3231	2.0754	55.1100	0.3030	4.5635	2.7459	1.6619	0.0765	0.2920	0.7950
2162.4520	2.1383	1.4292	2.0671	58.9400	0.3050	4.4201	2.9544	1.4961	0.1199	0.2870	0.7620
2162.6050	2.0947	1.4260	2.0824	55.4310	0.2990	4.3622	2.9696	1.4690	0.0801	0.2720	0.7840
2162.7570	2.0730	1.3861	2.0804	57.1280	0.2990	4.3128	2.8837	1.4956	0.0994	0.2650	0.8100
2162.9100	2.0034	1.4196	2.0961	54.8550	0.2920	4.1994	2.9758	1.4112	0.0736	0.2660	0.7900
2163.0620	2.0818	1.3559	2.0636	54.0610	0.3100	4.2961	2.7980	1.5354	0.0646	0.2690	0.7720
2163.2140	1.9977	1.3188	2.0774	51.8860	0.3040	4.1498	2.7396	1.5148	0.0399	0.2870	0.7120
2163.3670	2.0775	1.2375	2.0490	52.2530	0.3190	4.2566	2.5356	1.6788	0.0441	0.3010	0.7110
2163.5190	2.1035	1.0194	2.0481	52.9650	0.3190	4.3083	2.0879	2.0634	0.0521	0.2930	0.7080
2163.6720	2.0469	1.0215	2.0347	54.9190	0.3250	4.1650	2.0785	2.0038	0.0743	0.2840	0.7440
2163.8240	2.0303	1.0205	2.0417	56.9490	0.3200	4.1453	2.0836	1.9895	0.0973	0.2570	0.7010
2163.9760	2.1195	0.7413	2.0514	61.3100	0.3120	4.3481	1.5208	2.8590	0.1468	0.2100	0.7460
2164.1290	1.8079	0.7425	2.0626	61.2570	0.3060	3.7288	1.5315	2.4347	0.1462	0.2100	0.7460
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
