%Depth m	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2078.0000	2.3720	1.0080	2.2490	93.0720	0.4130	5.3346	2.2670	2.3532	0.5072	1.0000	1.0000
2078.2000	2.3450	0.9570	2.2400	96.5480	0.4280	5.2528	2.1437	2.4504	0.5466	1.0000	1.0000
2078.3000	2.2840	0.9140	2.2260	99.9090	0.4130	5.0842	2.0346	2.4989	0.5847	1.0000	1.0000
2078.5000	2.2930	0.9140	2.2290	106.7400	0.4310	5.1111	2.0373	2.5088	0.6623	1.0000	0.9840
2078.6000	2.2980	0.9490	2.2320	106.3200	0.4330	5.1291	2.1182	2.4215	0.6574	1.0000	1.0000
2078.8000	2.3040	0.9120	2.2340	102.5300	0.4240	5.1471	2.0374	2.5263	0.6145	1.0000	0.9610
2078.9000	2.3010	0.9030	2.2310	96.5600	0.4310	5.1335	2.0146	2.5482	0.5467	1.0000	1.0000
2079.1000	2.2870	0.9020	2.2210	90.5160	0.4410	5.0794	2.0033	2.5355	0.4782	1.0000	1.0000
2079.2000	2.2960	0.9200	2.2200	88.5050	0.4530	5.0971	2.0424	2.4957	0.4554	1.0000	0.9630
2079.4000	2.3180	0.9200	2.2360	92.0540	0.4460	5.1830	2.0571	2.5196	0.4956	1.0000	1.0000
2079.5000	2.3050	0.9310	2.2440	101.4300	0.4420	5.1724	2.0892	2.4758	0.6020	1.0000	1.0000
2079.7000	2.3080	0.9810	2.2500	108.4900	0.4590	5.1930	2.2073	2.3527	0.6820	1.0000	1.0000
2079.9000	2.3300	0.9480	2.2600	115.9800	0.4350	5.2658	2.1425	2.4578	0.7670	1.0000	1.0000
2080.0000	2.3410	0.9550	2.2660	115.2100	0.4380	5.3047	2.1640	2.4513	0.7584	1.0000	1.0000
2080.2000	2.3480	0.9550	2.2640	118.3100	0.4290	5.3159	2.1621	2.4586	0.7935	1.0000	1.0000
2080.3000	2.3680	0.9910	2.2580	114.6600	0.4430	5.3469	2.2377	2.3895	0.7521	1.0000	1.0000
2080.5000	2.3720	0.9890	2.2510	117.7600	0.4200	5.3394	2.2262	2.3984	0.7872	1.0000	0.9820
2080.6000	2.3800	0.9910	2.2520	114.6800	0.4200	5.3598	2.2317	2.4016	0.7523	1.0000	1.0000
2080.8000	2.3800	0.9910	2.2500	113.0700	0.4320	5.3550	2.2298	2.4016	0.7340	1.0000	0.9730
2080.9000	2.3780	0.9920	2.2620	108.7400	0.4100	5.3790	2.2439	2.3972	0.6849	1.0000	0.9570
2081.1000	2.3780	0.9920	2.2620	105.1600	0.4020	5.3790	2.2439	2.3972	0.6443	1.0000	0.9580
2081.2000	2.3700	0.9860	2.2670	105.7900	0.3960	5.3728	2.2353	2.4037	0.6515	1.0000	1.0000
2081.4000	2.3760	0.9840	2.2630	105.9800	0.4350	5.3769	2.2268	2.4146	0.6536	1.0000	1.0000
2081.5000	2.3890	0.9540	2.2660	105.4600	0.4230	5.4135	2.1618	2.5042	0.6477	1.0000	0.9990
2081.7000	2.3670	0.9430	2.2680	101.7100	0.4280	5.3684	2.1387	2.5101	0.6052	1.0000	0.9780
2081.8000	2.3290	0.9430	2.2780	94.5740	0.4100	5.3055	2.1482	2.4698	0.5242	1.0000	1.0000
2082.0000	2.3130	0.9160	2.2780	93.9280	0.4190	5.2690	2.0866	2.5251	0.5169	1.0000	1.0000
2082.1000	2.2870	0.9080	2.2760	95.7200	0.4030	5.2052	2.0666	2.5187	0.5372	1.0000	1.0000
2082.3000	2.2800	0.9060	2.2520	104.4700	0.4070	5.1346	2.0403	2.5166	0.6365	1.0000	1.0000
2082.4000	2.2840	0.8840	2.2320	110.6100	0.4120	5.0979	1.9731	2.5837	0.7062	1.0000	1.0000
2082.6000	2.2840	0.8890	2.2140	113.4700	0.4230	5.0568	1.9682	2.5692	0.7385	1.0000	1.0000
2082.7000	2.2850	0.8890	2.2190	114.9800	0.4100	5.0704	1.9727	2.5703	0.7558	1.0000	0.9720
2082.9000	2.2980	0.8800	2.2430	111.5100	0.4080	5.1544	1.9738	2.6114	0.7164	1.0000	0.9830
2083.1000	2.2940	0.9090	2.2430	112.7600	0.4070	5.1454	2.0389	2.5237	0.7306	1.0000	0.9760
2083.2000	2.2990	0.8870	2.2410	118.6300	0.4200	5.1521	1.9878	2.5919	0.7971	1.0000	0.9690
2083.4000	2.3080	0.9370	2.2250	128.3500	0.4270	5.1353	2.0848	2.4632	0.9074	1.0000	1.0000
2083.5000	2.3360	0.9370	2.2190	136.5100	0.4510	5.1836	2.0792	2.4931	1.0000	1.0000	1.0000
2083.7000	2.3640	0.9190	2.2070	136.0100	0.4450	5.2173	2.0282	2.5724	0.9943	1.0000	1.0000
2083.8000	2.3640	0.9870	2.2310	126.7900	0.4380	5.2741	2.2020	2.3951	0.8896	1.0000	0.9350
2084.0000	2.3760	0.9820	2.2520	111.5100	0.4020	5.3508	2.2115	2.4196	0.7163	1.0000	0.9580
2084.1000	2.3640	0.9800	2.2770	93.7710	0.4030	5.3828	2.2315	2.4122	0.5151	1.0000	1.0000
2084.3000	2.3430	0.9800	2.2730	86.9780	0.4010	5.3256	2.2275	2.3908	0.4380	1.0000	1.0000
2084.4000	2.3460	0.9670	2.2680	89.5250	0.4120	5.3207	2.1932	2.4261	0.4669	1.0000	1.0000
2084.6000	2.3580	0.9660	2.2670	98.4400	0.4110	5.3456	2.1899	2.4410	0.5681	1.0000	1.0000
2084.7000	2.3590	0.9760	2.2640	103.2500	0.4340	5.3408	2.2097	2.4170	0.6226	1.0000	1.0000
2084.9000	2.3630	0.9830	2.2600	103.2900	0.4250	5.3404	2.2216	2.4039	0.6231	1.0000	1.0000
2085.0000	2.3740	0.9860	2.2500	99.6470	0.4310	5.3415	2.2185	2.4077	0.5818	1.0000	1.0000
2085.2000	2.3680	0.9860	2.2550	98.1400	0.4220	5.3398	2.2234	2.4016	0.5647	1.0000	0.9770
2085.3000	2.3660	0.9810	2.2660	95.9720	0.4260	5.3614	2.2229	2.4118	0.5401	1.0000	0.9890
2085.5000	2.3530	0.9800	2.2700	97.3070	0.4320	5.3413	2.2246	2.4010	0.5552	1.0000	1.0000
2085.6000	2.3500	0.9670	2.2640	100.6700	0.4220	5.3204	2.1893	2.4302	0.5933	1.0000	1.0000
2085.8000	2.3360	0.9410	2.2520	102.8300	0.4100	5.2607	2.1191	2.4825	0.6179	1.0000	0.9840
2085.9000	2.3520	0.9410	2.2500	104.6100	0.4190	5.2920	2.1173	2.4995	0.6381	1.0000	0.9760
2086.1000	2.3490	0.9890	2.2450	104.8400	0.4260	5.2735	2.2203	2.3751	0.6406	1.0000	0.9750
2086.3000	2.3330	0.9860	2.2520	103.0400	0.4340	5.2539	2.2205	2.3661	0.6202	1.0000	1.0000
2086.4000	2.3300	0.9600	2.2560	99.0770	0.4390	5.2565	2.1658	2.4271	0.5753	1.0000	1.0000
2086.6000	2.3070	0.9040	2.2690	94.2470	0.4200	5.2346	2.0512	2.5520	0.5205	1.0000	1.0000
2086.7000	2.3000	0.8940	2.2740	88.1840	0.4110	5.2302	2.0330	2.5727	0.4517	1.0000	1.0000
2086.9000	2.2960	0.8940	2.2690	85.9860	0.3860	5.2096	2.0285	2.5682	0.4268	1.0000	1.0000
2087.0000	2.2920	0.8930	2.2540	84.7400	0.4010	5.1662	2.0128	2.5666	0.4126	1.0000	1.0000
2087.2000	2.3120	0.8610	2.2370	88.4310	0.4250	5.1719	1.9261	2.6852	0.4545	1.0000	1.0000
2087.3000	2.3300	0.9060	2.2370	92.7170	0.4360	5.2122	2.0267	2.5717	0.5031	1.0000	1.0000
2087.5000	2.3480	0.9170	2.2350	97.1530	0.4420	5.2478	2.0495	2.5605	0.5535	1.0000	1.0000
2087.6000	2.3430	0.9170	2.2330	102.8300	0.4460	5.2319	2.0477	2.5551	0.6178	1.0000	0.9930
2087.8000	2.3480	0.9220	2.2250	103.8600	0.4520	5.2243	2.0515	2.5466	0.6296	1.0000	1.0000
2087.9000	2.3520	0.9320	2.2310	99.8810	0.4470	5.2473	2.0793	2.5236	0.5844	1.0000	1.0000
2088.1000	2.3800	0.9400	2.2390	91.0940	0.4170	5.3288	2.1047	2.5319	0.4847	1.0000	1.0000
2088.2000	2.3960	0.9440	2.2500	83.8530	0.4110	5.3910	2.1240	2.5381	0.4026	1.0000	1.0000
2088.4000	2.3940	0.9430	2.2530	80.5840	0.4070	5.3937	2.1246	2.5387	0.3655	1.0000	1.0000
2088.5000	2.3890	0.9430	2.2420	80.4870	0.4150	5.3561	2.1142	2.5334	0.3644	1.0000	1.0000
2088.7000	2.4050	0.9440	2.2330	80.6650	0.4120	5.3704	2.1080	2.5477	0.3664	1.0000	0.9540
2088.8000	2.4020	0.9420	2.2280	86.3410	0.4140	5.3517	2.0988	2.5499	0.4308	1.0000	0.9460
2089.0000	2.3850	0.9380	2.2230	88.9570	0.4090	5.3019	2.0852	2.5426	0.4605	1.0000	0.9250
2089.1000	2.3740	0.9300	2.2250	91.8690	0.4110	5.2822	2.0693	2.5527	0.4935	1.0000	0.9190
2089.3000	2.3560	0.9300	2.2300	87.5080	0.4090	5.2539	2.0739	2.5333	0.4440	1.0000	0.9630
2089.5000	2.3410	0.9170	2.2300	89.9450	0.4170	5.2204	2.0449	2.5529	0.4717	1.0000	0.9250
2089.6000	2.3380	0.9100	2.2320	87.8080	0.4080	5.2184	2.0311	2.5692	0.4474	1.0000	0.8980
2089.8000	2.3340	0.9020	2.2410	89.5390	0.4140	5.2305	2.0214	2.5876	0.4671	1.0000	1.0000
2089.9000	2.3250	0.9050	2.2380	85.5340	0.4020	5.2034	2.0254	2.5691	0.4216	1.0000	1.0000
2090.1000	2.3130	0.9050	2.2310	87.8850	0.4010	5.1603	2.0191	2.5558	0.4483	1.0000	0.9600
2090.2000	2.3270	0.9120	2.2350	88.0550	0.4210	5.2008	2.0383	2.5515	0.4502	1.0000	1.0000
2090.4000	2.3200	0.9200	2.2450	91.6330	0.4450	5.2084	2.0654	2.5217	0.4908	1.0000	0.9960
2090.5000	2.3210	0.9220	2.2550	92.3620	0.4560	5.2339	2.0791	2.5174	0.4991	1.0000	1.0000
2090.7000	2.3250	0.9180	2.2560	96.6580	0.4300	5.2452	2.0710	2.5327	0.5478	1.0000	1.0000
2090.8000	2.3270	0.9150	2.2610	99.5280	0.4050	5.2613	2.0688	2.5432	0.5804	1.0000	1.0000
2091.0000	2.3290	0.9150	2.2580	104.7000	0.3840	5.2589	2.0661	2.5454	0.6391	1.0000	0.9550
2091.1000	2.3290	0.9130	2.2570	107.7400	0.3790	5.2566	2.0606	2.5509	0.6736	1.0000	0.9340
2091.3000	2.3390	0.9310	2.2470	107.2500	0.3880	5.2557	2.0920	2.5124	0.6681	1.0000	0.9350
2091.4000	2.3520	0.9420	2.2380	104.7500	0.3960	5.2638	2.1082	2.4968	0.6397	1.0000	1.0000
