%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2186.0750	2.7550	1.2310	2.0860	80.7810	0.3890	5.7469	2.5679	2.2380	0.2680	0.6880	1.0000
2186.2270	2.7580	1.2840	2.1020	71.9890	0.3320	5.7973	2.6990	2.1480	0.1680	0.6590	0.9930
2186.3790	2.8060	1.2840	2.1190	63.1790	0.3090	5.9459	2.7208	2.1854	0.1713	0.6940	0.9750
2186.5320	2.8260	1.3100	2.1340	63.4640	0.3030	6.0307	2.7955	2.1573	0.2105	0.7510	0.9740
2186.6840	2.8230	1.3400	2.1570	66.9260	0.2910	6.0892	2.8904	2.1067	0.2896	0.8000	0.9900
2186.8360	2.8270	1.3340	2.1790	73.8980	0.2950	6.1600	2.9068	2.1192	0.3675	0.9020	1.0000
2186.9890	2.8120	1.2580	2.1840	80.7640	0.3180	6.1414	2.7475	2.2353	0.4298	0.9820	1.0000
2187.1410	2.7700	1.2580	2.1720	86.2560	0.3240	6.0164	2.7324	2.2019	0.4373	0.9560	1.0000
2187.2940	2.7350	1.2490	2.1590	86.9120	0.3350	5.9049	2.6966	2.1898	0.4573	0.9150	1.0000
2187.4460	2.7050	1.2540	2.1750	88.6740	0.3400	5.8834	2.7275	2.1571	0.4779	0.9370	1.0000
2187.5980	2.6830	1.1510	2.2020	90.4890	0.3340	5.9080	2.5345	2.3310	0.4946	0.9910	1.0000
2187.7510	2.7400	1.1890	2.2070	91.9680	0.3380	6.0472	2.6241	2.3045	0.4735	0.9600	1.0000
2187.9030	2.6600	1.1890	2.1870	90.1060	0.3500	5.8174	2.6003	2.2372	0.4314	0.8800	1.0000
2188.0560	2.8190	1.2570	2.1790	86.3950	0.3690	6.1426	2.7390	2.2426	0.4181	0.8590	1.0000
2188.2080	2.8720	1.2630	2.2060	85.2190	0.3790	6.3356	2.7862	2.2740	0.3623	0.9730	1.0000
2188.3600	2.8670	1.3340	2.2090	80.3020	0.3570	6.3332	2.9468	2.1492	0.3272	1.0000	1.0000
2188.5130	2.8780	1.3450	2.1790	77.2130	0.3430	6.2712	2.9308	2.1398	0.2530	1.0000	1.0000
2188.6650	2.8390	1.2660	2.1630	70.6720	0.3030	6.1408	2.7384	2.2425	0.2427	1.0000	1.0000
2188.8180	2.7880	1.2660	2.1560	69.7620	0.2910	6.0109	2.7295	2.2022	0.2322	1.0000	1.0000
2188.9700	2.7760	1.2100	2.1720	68.8360	0.2900	6.0295	2.6281	2.2942	0.2498	1.0000	1.0000
2189.1220	2.7750	1.1990	2.1740	70.3860	0.3030	6.0329	2.6066	2.3144	0.2584	0.9790	1.0000
2189.2750	2.7360	1.1820	2.1710	71.1410	0.3410	5.9399	2.5661	2.3147	0.2556	0.9160	1.0000
2189.4270	2.8640	1.2260	2.1740	70.8980	0.3520	6.2263	2.6653	2.3361	0.2155	0.9160	1.0000
2189.5800	2.9530	1.2270	2.1810	67.3630	0.3460	6.4405	2.6761	2.4067	0.1971	0.9400	1.0000
2189.7320	2.9990	1.2910	2.1900	65.7380	0.3180	6.5678	2.8273	2.3230	0.1666	1.0000	1.0000
2189.8850	2.9710	1.2930	2.1760	63.0500	0.3010	6.4649	2.8136	2.2978	0.1978	1.0000	1.0000
2190.0370	2.9370	1.2860	2.1510	65.8040	0.2990	6.3175	2.7662	2.2838	0.1649	1.0000	1.0000
2190.1890	2.9250	1.3080	2.1470	62.9060	0.2990	6.2800	2.8083	2.2362	0.1590	1.0000	1.0000
2190.3420	2.9380	1.3080	2.1470	62.3840	0.3020	6.3079	2.8083	2.2462	0.1537	0.9820	1.0000
2190.4940	2.9780	1.3010	2.1680	61.9180	0.2970	6.4563	2.8206	2.2890	0.1819	0.9970	1.0000
2190.6460	3.0780	1.2770	2.1940	64.4040	0.2860	6.7531	2.8017	2.4103	0.1996	1.0000	1.0000
2190.7990	2.9170	1.3040	2.2080	65.9600	0.2860	6.4407	2.8792	2.2370	0.1706	1.0000	1.0000
2190.9510	2.8280	1.1780	2.2000	63.4090	0.3000	6.2216	2.5916	2.4007	0.1522	1.0000	1.0000
2191.1040	2.7080	1.1220	2.1950	61.7820	0.3040	5.9441	2.4628	2.4135	0.1749	1.0000	1.0000
2191.2560	2.7050	1.1220	2.2030	63.7810	0.3020	5.9591	2.4718	2.4109	0.2347	0.9720	1.0000
2191.4080	2.7730	1.3770	2.2120	69.0560	0.2810	6.1339	3.0459	2.0138	0.3195	0.9590	1.0000
2191.5610	2.7980	1.4860	2.1540	76.5270	0.3380	6.0269	3.2008	1.8829	0.3775	0.9880	1.0000
2191.7130	2.9160	1.4540	2.1060	81.6430	0.3610	6.1411	3.0621	2.0055	0.4027	0.9550	1.0000
2191.8650	2.9940	1.4100	2.0900	83.8620	0.4030	6.2575	2.9469	2.1234	0.3597	1.0000	1.0000
2192.0180	2.9960	1.4070	2.1630	80.0700	0.3520	6.4803	3.0433	2.1294	0.3119	0.9380	0.9990
2192.1700	2.9660	1.4160	2.1970	75.8650	0.3350	6.5163	3.1110	2.0946	0.2602	0.9120	1.0000
2192.3230	2.9680	1.3970	2.1960	71.3030	0.3090	6.5177	3.0678	2.1246	0.2304	0.9860	1.0000
2192.4750	2.9750	1.3490	2.1630	68.6800	0.3090	6.4349	2.9179	2.2053	0.2026	0.9760	1.0000
2192.6280	2.9980	1.3720	2.1650	66.2310	0.3090	6.4907	2.9704	2.1851	0.1853	0.9950	1.0000
2192.7800	2.9880	1.3720	2.1710	64.6990	0.2960	6.4869	2.9786	2.1778	0.1817	0.9990	1.0000
2192.9320	2.9930	1.3730	2.1770	64.3820	0.2820	6.5158	2.9890	2.1799	0.1768	1.0000	1.0000
2193.0850	2.9840	1.3830	2.1770	63.9530	0.2700	6.4962	3.0108	2.1576	0.1786	0.9950	1.0000
2193.2370	2.9740	1.3900	2.1710	64.1110	0.2730	6.4566	3.0177	2.1396	0.1826	0.9720	1.0000
2193.3900	3.0140	1.4300	2.1720	64.4680	0.2990	6.5464	3.1060	2.1077	0.1777	0.9860	1.0000
2193.5420	3.0260	1.4300	2.1740	64.0330	0.3030	6.5785	3.1088	2.1161	0.1774	1.0000	1.0000
2193.6940	3.0280	1.4340	2.1810	64.0050	0.3090	6.6041	3.1276	2.1116	0.1894	1.0000	1.0000
2193.8470	3.0210	1.3600	2.1880	65.0660	0.3010	6.6099	2.9757	2.2213	0.2583	0.9640	1.0000
2193.9990	2.9670	1.3590	2.2130	71.1390	0.3050	6.5660	3.0075	2.1832	0.3272	1.0000	1.0000
2194.1520	3.0310	1.3180	2.2500	77.2090	0.3010	6.8198	2.9655	2.2997	0.4164	0.9890	1.0000
2194.3040	2.9940	1.3180	2.2830	85.0710	0.2940	6.8353	3.0090	2.2716	0.4475	0.9650	1.0000
2194.4560	2.9590	1.3180	2.2970	87.8160	0.2940	6.7968	3.0274	2.2451	0.4533	1.0000	1.0000
2194.6090	2.9100	1.2840	2.2800	88.3200	0.3240	6.6348	2.9275	2.2664	0.4296	0.9770	1.0000
2194.7610	2.8890	1.2040	2.2590	86.2350	0.3500	6.5263	2.7198	2.3995	0.4232	0.9170	1.0000
2194.9140	2.8440	1.1960	2.2560	85.6670	0.3570	6.4161	2.6982	2.3779	0.4248	0.8990	1.0000
2195.0660	2.8650	1.2190	2.2620	85.8100	0.3350	6.4806	2.7574	2.3503	0.4029	0.9060	1.0000
2195.2180	2.8160	1.2190	2.2650	83.8830	0.3250	6.3782	2.7610	2.3101	0.3826	0.9130	1.0000
2195.3710	2.7890	1.2320	2.2510	82.0920	0.3320	6.2780	2.7732	2.2638	0.3577	0.9650	1.0000
2195.5230	2.8030	1.2360	2.2380	79.8950	0.3410	6.2731	2.7662	2.2678	0.3280	1.0000	1.0000
