%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2168.0910	2.7550	1.3870	2.0700	64.1120	0.3160	5.7029	2.8711	1.9863	0.1786	0.1940	0.7650
2168.2440	2.8010	1.4150	2.0850	63.3280	0.3110	5.8401	2.9503	1.9795	0.1697	0.1980	0.7780
2168.3960	2.8020	1.4230	2.1070	62.1420	0.3110	5.9038	2.9983	1.9691	0.1563	0.2070	0.7910
2168.5480	2.8160	1.4230	2.1170	61.7700	0.3300	5.9615	3.0125	1.9789	0.1520	0.2110	0.7980
2168.7010	2.8470	1.4270	2.1340	63.1570	0.3280	6.0755	3.0452	1.9951	0.1678	0.2180	0.8370
2168.8530	2.8000	1.4300	2.1320	63.3650	0.3320	5.9696	3.0488	1.9580	0.1701	0.2180	0.8410
2169.0060	2.7550	1.4290	2.1380	62.9150	0.3110	5.8902	3.0552	1.9279	0.1650	0.2210	0.8620
2169.1580	2.8210	1.4180	2.1390	62.9640	0.3070	6.0341	3.0331	1.9894	0.1656	0.2220	0.8900
2169.3100	2.8520	1.4180	2.1380	62.9450	0.3040	6.0976	3.0317	2.0113	0.1654	0.2230	0.9210
2169.4630	2.7850	1.4930	2.1320	64.9780	0.3000	5.9376	3.1831	1.8654	0.1884	0.2320	0.9560
2169.6150	2.8130	1.4050	2.1260	63.4440	0.3140	5.9804	2.9870	2.0021	0.1710	0.2500	0.9200
2169.7680	2.7810	1.4610	2.1300	63.6240	0.3020	5.9235	3.1119	1.9035	0.1731	0.2620	0.8780
2169.9200	2.8280	1.4800	2.1290	62.6100	0.3080	6.0208	3.1509	1.9108	0.1616	0.2610	0.8960
2170.0730	2.8840	1.5420	2.1280	62.1300	0.3020	6.1372	3.2814	1.8703	0.1561	0.2480	0.9180
2170.2250	2.8240	1.5420	2.1250	62.9920	0.3080	6.0010	3.2768	1.8314	0.1659	0.2360	0.8800
2170.3770	2.8290	1.5370	2.1340	63.8350	0.3070	6.0371	3.2800	1.8406	0.1755	0.2310	0.8640
2170.5300	2.8120	1.5150	2.1420	65.5070	0.3000	6.0233	3.2451	1.8561	0.1944	0.2080	0.8590
2170.6820	2.7980	1.4940	2.1390	66.3030	0.2970	5.9849	3.1957	1.8728	0.2035	0.2100	0.8820
2170.8340	2.7980	1.4980	2.1320	64.2550	0.3010	5.9653	3.1937	1.8678	0.1802	0.2120	0.8700
2170.9870	2.8360	1.4980	2.1110	64.8980	0.3050	5.9868	3.1623	1.8932	0.1875	0.2050	0.8430
2171.1390	2.8470	1.4750	2.0990	64.2390	0.3050	5.9759	3.0960	1.9302	0.1800	0.2070	0.8380
2171.2910	2.8540	1.5060	2.0940	63.5550	0.3020	5.9763	3.1536	1.8951	0.1723	0.2030	0.8610
2171.4440	2.8670	1.4640	2.1050	63.4770	0.3020	6.0350	3.0817	1.9583	0.1714	0.2060	0.8620
2171.5960	2.8810	1.4580	2.1200	62.2580	0.3050	6.1077	3.0910	1.9760	0.1576	0.2060	0.9080
2171.7490	2.8940	1.4580	2.1270	63.6020	0.3080	6.1555	3.1012	1.9849	0.1728	0.1980	0.9110
2171.9010	2.8880	1.4680	2.1280	62.5140	0.3240	6.1457	3.1239	1.9673	0.1605	0.1930	0.8830
2172.0540	2.8990	1.4530	2.1230	63.2800	0.3290	6.1546	3.0847	1.9952	0.1692	0.1960	0.8350
2172.2060	2.9010	1.4560	2.1230	64.7060	0.3350	6.1588	3.0911	1.9924	0.1853	0.2000	0.8380
2172.3580	2.9150	1.4610	2.1240	63.2810	0.3230	6.1915	3.1032	1.9952	0.1692	0.2070	0.8800
2172.5110	2.9000	1.4110	2.1330	62.7470	0.3240	6.1857	3.0097	2.0553	0.1631	0.2250	0.8930
2172.6630	2.9080	1.4110	2.1470	63.1880	0.3130	6.2435	3.0294	2.0609	0.1681	0.2610	0.9740
2172.8160	2.8860	1.3970	2.1580	66.4630	0.3170	6.2280	3.0147	2.0659	0.2053	0.2970	0.9580
2172.9680	2.8680	1.3630	2.1560	66.9120	0.3220	6.1834	2.9386	2.1042	0.2104	0.3060	0.9410
2173.1200	2.8260	1.3810	2.1450	65.5180	0.3240	6.0618	2.9622	2.0463	0.1946	0.3020	0.9580
