%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2168.0910	2.5570	1.3969	2.0408	64.1120	0.3160	5.2181	2.8507	1.8305	0.1786	0.1940	0.7650
2168.2440	2.6172	1.4267	2.0509	63.3280	0.3110	5.3676	2.9260	1.8344	0.1697	0.1980	0.7780
2168.3960	2.6299	1.4418	2.0523	62.1420	0.3110	5.3973	2.9591	1.8240	0.1563	0.2070	0.7910
2168.5480	2.6946	1.4576	2.0176	61.7700	0.3300	5.4367	2.9409	1.8486	0.1520	0.2110	0.7980
2168.7010	2.7587	1.4668	2.0197	63.1570	0.3280	5.5719	2.9626	1.8808	0.1678	0.2180	0.8370
2168.8530	2.6970	1.4720	2.0121	63.3650	0.3320	5.4267	2.9618	1.8322	0.1701	0.2180	0.8410
2169.0060	2.5920	1.4589	2.0514	62.9150	0.3110	5.3172	2.9927	1.7768	0.1650	0.2210	0.8620
2169.1580	2.6869	1.4454	2.0587	62.9640	0.3070	5.5315	2.9756	1.8590	0.1656	0.2220	0.8900
2169.3100	2.7255	1.4431	2.0643	62.9450	0.3040	5.6261	2.9789	1.8886	0.1654	0.2230	0.9210
2169.4630	2.6053	1.5155	2.0692	64.9780	0.3000	5.3908	3.1359	1.7191	0.1884	0.2320	0.9560
2169.6150	2.6866	1.4325	2.0452	63.4440	0.3140	5.4948	2.9297	1.8755	0.1710	0.2500	0.9200
2169.7680	2.6070	1.4830	2.0671	63.6240	0.3020	5.3890	3.0657	1.7578	0.1731	0.2620	0.8780
2169.9200	2.6767	1.5056	2.0573	62.6100	0.3080	5.5066	3.0974	1.7778	0.1616	0.2610	0.8960
2170.0730	2.7249	1.5639	2.0689	62.1300	0.3020	5.6376	3.2355	1.7424	0.1561	0.2480	0.9180
2170.2250	2.6484	1.5673	2.0568	62.9920	0.3080	5.4473	3.2238	1.6897	0.1659	0.2360	0.8800
2170.3770	2.6680	1.5652	2.0577	63.8350	0.3070	5.4898	3.2208	1.7045	0.1755	0.2310	0.8640
2170.5300	2.6490	1.5416	2.0686	65.5070	0.3000	5.4798	3.1890	1.7183	0.1944	0.2080	0.8590
2170.6820	2.6306	1.5175	2.0732	66.3030	0.2970	5.4536	3.1461	1.7334	0.2035	0.2100	0.8820
2170.8340	2.6185	1.5209	2.0682	64.2550	0.3010	5.4158	3.1456	1.7217	0.1802	0.2120	0.8700
2170.9870	2.6687	1.5164	2.0601	64.8980	0.3050	5.4978	3.1239	1.7599	0.1875	0.2050	0.8430
2171.1390	2.6769	1.4886	2.0609	64.2390	0.3050	5.5167	3.0678	1.7983	0.1800	0.2070	0.8380
2171.2910	2.6631	1.5157	2.0672	63.5550	0.3020	5.5052	3.1333	1.7570	0.1723	0.2030	0.8610
2171.4440	2.7039	1.4773	2.0673	63.4770	0.3020	5.5897	3.0540	1.8303	0.1714	0.2060	0.8620
2171.5960	2.7373	1.4779	2.0632	62.2580	0.3050	5.6476	3.0493	1.8521	0.1576	0.2060	0.9080
2171.7490	2.7760	1.4829	2.0561	63.6020	0.3080	5.7078	3.0490	1.8720	0.1728	0.1980	0.9110
2171.9010	2.7888	1.5038	2.0278	62.5140	0.3240	5.6553	3.0495	1.8545	0.1605	0.1930	0.8830
2172.0540	2.8178	1.4904	2.0177	63.2800	0.3290	5.6855	3.0073	1.8906	0.1692	0.1960	0.8350
2172.2060	2.8397	1.4982	2.0051	64.7060	0.3350	5.6938	3.0040	1.8954	0.1853	0.2000	0.8380
2172.3580	2.8294	1.4949	2.0288	63.2810	0.3230	5.7403	3.0328	1.8927	0.1692	0.2070	0.8800
2172.5110	2.8271	1.4472	2.0276	62.7470	0.3240	5.7322	2.9343	1.9535	0.1631	0.2250	0.8930
2172.6630	2.8365	1.4449	2.0474	63.1880	0.3130	5.8074	2.9583	1.9631	0.1681	0.2610	0.9740
2172.8160	2.8480	1.4382	2.0362	66.4630	0.3170	5.7990	2.9284	1.9803	0.2053	0.2970	0.9580
2172.9680	2.8400	1.4059	2.0265	66.9120	0.3220	5.7551	2.8490	2.0201	0.2104	0.3060	0.9410
2173.1200	2.7636	1.4215	2.0244	65.5180	0.3240	5.5946	2.8778	1.9441	0.1946	0.3020	0.9580
2173.2730	2.6983	1.3986	2.0399	66.3920	0.3150	5.5043	2.8530	1.9293	0.2045	0.2980	0.9630
2173.4250	2.6262	1.3886	2.0546	67.9590	0.3060	5.3959	2.8531	1.8912	0.2223	0.3020	0.9110
2173.5780	2.6223	1.3743	2.0331	69.0950	0.3170	5.3314	2.7941	1.9081	0.2351	0.3250	0.8880
2173.7300	2.5737	1.3497	2.0299	67.1090	0.3200	5.2244	2.7397	1.9069	0.2126	0.3750	0.9260
2173.8820	2.7438	1.3333	2.0408	65.6330	0.3150	5.5996	2.7210	2.0579	0.1959	0.4290	0.9450
2174.0350	2.7978	1.3344	2.0569	66.0630	0.3060	5.7547	2.7447	2.0966	0.2007	0.4500	0.9840
2174.1870	2.9001	1.4237	2.0060	70.3500	0.3310	5.8177	2.8560	2.0370	0.2494	0.4840	1.0000
2174.3400	2.9731	1.4502	1.9730	78.5570	0.3440	5.8661	2.8612	2.0502	0.3425	0.5170	1.0000
2174.4920	3.1342	1.4962	1.9356	82.9000	0.3620	6.0665	2.8959	2.0948	0.3918	0.5740	1.0000
2174.6440	3.0242	1.5409	2.0047	79.4640	0.3260	6.0627	3.0890	1.9627	0.3528	0.5180	1.0000
2174.7970	2.9391	1.5258	2.0328	74.0550	0.3140	5.9747	3.1017	1.9263	0.2914	0.4310	1.0000
2174.9490	2.8198	1.5354	2.0775	68.8260	0.2930	5.8580	3.1897	1.8366	0.2321	0.3830	1.0000
