%Depth m	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2143.2000	2.5150	1.0340	2.1300	85.7410	0.4670	5.3570	2.3451	2.4323	0.4240	0.9700	1.0000
2143.4000	2.4880	1.0000	2.1300	91.2380	0.4600	5.2994	2.2840	2.4880	0.4864	1.0000	1.0000
2143.6000	2.5350	0.9930	2.1555	90.1180	0.4590	5.4642	2.2779	2.5529	0.4736	1.0000	1.0000
2143.7000	2.5490	0.9690	2.1344	90.4050	0.4490	5.4406	2.2171	2.6305	0.4769	1.0000	1.0000
2143.9000	2.4800	0.9520	2.1414	87.1520	0.4310	5.3107	2.1886	2.6050	0.4400	1.0000	1.0000
2144.0000	2.4610	0.9140	2.1949	85.1930	0.4030	5.4016	2.1040	2.6926	0.4178	1.0000	1.0000
2144.2000	2.4130	0.9660	2.2369	84.2140	0.3890	5.3976	2.2083	2.4979	0.4067	1.0000	1.0000
2144.3000	2.3620	0.9680	2.2835	85.6330	0.3800	5.3936	2.2090	2.4401	0.4228	1.0000	1.0000
2144.5000	2.3420	0.9340	2.3001	88.0910	0.3730	5.3868	2.1211	2.5075	0.4507	1.0000	1.0000
2144.6000	2.4190	1.0450	2.2138	88.7150	0.4110	5.3552	2.3596	2.3148	0.4577	1.0000	1.0000
2144.8000	2.4570	1.0990	2.1300	91.0520	0.4230	5.2334	2.4760	2.2357	0.4842	1.0000	1.0000
2144.9000	2.4420	0.9990	2.1300	91.2110	0.4360	5.2015	2.2697	2.4444	0.4860	1.0000	1.0000
2145.1000	2.4520	0.9740	2.1305	92.1870	0.4280	5.2240	2.2217	2.5175	0.4971	1.0000	1.0000
2145.2000	2.4320	0.9780	2.1300	86.8850	0.4260	5.1802	2.2269	2.4867	0.4370	1.0000	1.0000
2145.4000	2.3970	0.9860	2.1300	85.1730	0.4360	5.1056	2.2481	2.4310	0.4175	1.0000	1.0000
2145.5000	2.4310	0.9830	2.1300	83.2880	0.4540	5.1780	2.2363	2.4730	0.3962	1.0000	1.0000
2145.7000	2.4740	0.9540	2.1300	86.5430	0.4510	5.2696	2.1627	2.5933	0.4331	1.0000	1.0000
2145.8000	2.5220	0.9840	2.1944	84.1740	0.4550	5.5343	2.2386	2.5630	0.4062	1.0000	1.0000
